Nanolab elapsed time (ms),NR exptime (s),X Acceleration (G),Y Acceleration (G),Z Acceleration (G),Flight Altitude (ft)
478,0,-0.04,0.02,1.07,0
510,0,-0.04,0.02,1.07,0
555,0,0,0.04,1.02,0
587,0,0,0.04,1.02,0
635,0,-0.02,0.02,1.02,0
664,0,-0.02,0.02,1.02,0
710,0,-0.01,0.04,1.01,0
743,0,-0.01,0.04,1.01,0
789,0,-0.02,0.03,1.01,0
818,0,-0.02,0.03,1.01,0
863,0,-0.01,0.04,1.02,0
892,0,-0.01,0.04,1.02,0
938,0,-0.01,0.03,1.04,0
967,0,-0.01,0.03,1.04,0
1012,0,-0.02,0.02,1.02,0
1041,0,-0.02,0.02,1.02,0
1086,0,-0.01,0.04,1.03,0
1115,0,-0.01,0.04,1.03,0
1160,0,-0.04,0.04,1.02,0
1189,0,-0.04,0.04,1.02,0
1235,0,-0.01,0.04,1.02,0
1263,0,-0.01,0.04,1.02,0
1309,0,-0.04,0.03,1.02,0
1337,0,-0.04,0.03,1.02,0
1383,0,0,0.05,1.01,0
1411,0,0,0.05,1.01,0
1486,0,-0.03,0.03,1.03,0
1517,0,-0.03,0.03,1.03,0
1563,0,-0.01,0.04,1.02,0
1595,0,-0.01,0.04,1.02,0
1647,0,-0.02,0.03,1.01,0
1679,0,-0.02,0.03,1.01,0
1724,0,-0.01,0.04,1,0
1753,0,-0.01,0.04,1,0
1799,0,-0.02,0.05,1.06,0
1828,0,-0.02,0.05,1.06,0
1873,0,-0.01,0.03,1.02,0
1902,0,-0.01,0.03,1.02,0
1947,0,-0.01,0.03,1.02,0
1976,0,-0.01,0.03,1.02,0
2021,0,-0.03,0.03,1.03,0
2050,0,-0.03,0.03,1.03,0
2095,0,-0.01,0.03,1.02,0
2124,0,-0.01,0.03,1.02,0
2170,0,-0.02,0.04,1.02,0
2199,0,-0.02,0.04,1.02,0
2244,0,-0.02,0.03,1.02,0
2273,0,-0.02,0.03,1.02,0
2319,0,0,0.04,1.04,0
2348,0,0,0.04,1.04,0
2393,0,-0.02,0.04,1.04,0
2423,0,-0.02,0.04,1.04,0
2468,0,-0.01,0.05,1.04,0
2497,0,-0.01,0.05,1.04,0
2523,0,-0.01,0.05,1.04,0
3386,0,-0.02,0.03,1.01,0
3411,0,-0.02,0.03,1.01,0
3460,0,-0.02,0.03,1.02,0
3486,0,-0.02,0.03,1.02,0
3535,0,-0.01,0.03,1.01,0
3561,0,-0.01,0.03,1.01,0
3610,0,-0.02,0.03,1.03,0
3636,0,-0.02,0.03,1.03,0
3685,0,-0.02,0.02,1.03,0
3711,0,-0.02,0.02,1.03,0
3760,0,-0.01,0.04,1.01,0
3789,0,-0.01,0.04,1.01,0
3834,0,-0.01,0.03,1.01,0
3863,0,-0.01,0.03,1.01,0
3909,0,-0.01,0.03,1.03,0
3946,0,-0.01,0.03,1.03,0
3992,0,-0.02,0.04,1.02,0
4021,0,-0.02,0.04,1.02,0
4067,0,-0.01,0.04,1.03,0
4096,0,-0.01,0.04,1.03,0
4141,0,-0.01,0.03,1.03,0
4171,0,-0.01,0.03,1.03,0
4216,0,-0.02,0.03,1.03,0
4245,0,-0.02,0.03,1.03,0
4297,0,-0.02,0.05,1.06,0
4326,0,-0.02,0.05,1.06,0
4372,0,-0.01,0.04,1.04,0
4401,0,-0.01,0.04,1.04,0
4447,0,-0.02,0.01,1.02,0
4476,0,-0.02,0.01,1.02,0
4522,0,0,0.03,1.02,0
4551,0,0,0.03,1.02,0
4599,0,-0.02,0.04,1.04,0
4625,0,-0.02,0.04,1.04,0
4674,0,0,0.04,1.05,0
4700,0,0,0.04,1.05,0
4749,0,-0.01,0.03,1.02,0
4775,0,-0.01,0.03,1.02,0
4824,0,-0.02,0.03,1.01,0
4850,0,-0.02,0.03,1.01,0
4898,0,0,0.03,1,0
4925,0,0,0.03,1,0
4973,0,-0.02,0.03,1.02,0
4999,0,-0.02,0.03,1.02,0
5048,0,-0.01,0.03,1.03,0
5074,0,-0.01,0.03,1.03,0
5122,0,-0.02,0.04,1.01,0
5148,0,-0.02,0.04,1.01,0
5197,0,-0.01,0.03,1.02,0
5227,0,-0.01,0.03,1.02,0
5278,0,0,0.03,1.01,0
5304,0,0,0.03,1.01,0
5353,0,-0.02,0.03,1.04,0
5382,0,-0.02,0.03,1.04,0
5428,0,-0.01,0.02,1.03,0
5457,0,-0.01,0.02,1.03,0
5502,0,-0.02,0.03,1.02,0
5532,0,-0.02,0.03,1.02,0
5577,0,-0.02,0.04,1.02,0
5606,0,-0.02,0.04,1.02,0
5652,0,-0.02,0.03,1.01,0
5681,0,-0.02,0.03,1.01,0
5726,0,-0.02,0.03,1.01,0
5755,0,-0.02,0.03,1.01,0
5801,0,-0.02,0.04,1.02,0
5830,0,-0.02,0.04,1.02,0
5876,0,-0.02,0.03,1.02,0
5905,0,-0.02,0.03,1.02,0
5931,0,-0.02,0.03,1.02,0
6788,0,0,0.04,1.04,0
6814,0,0,0.04,1.04,0
6862,0,-0.01,0.04,1.03,0
6888,0,-0.01,0.04,1.03,0
6937,0,-0.02,0.03,1.01,0
6973,0,-0.02,0.03,1.01,0
7018,0,-0.01,0.03,1.02,0
7047,0,-0.01,0.03,1.02,0
7093,0,-0.02,0.04,1.04,0
7122,0,-0.02,0.04,1.04,0
7167,0,-0.02,0.03,1.02,0
7196,0,-0.02,0.03,1.02,0
7242,0,-0.02,0.03,1.03,0
7271,0,-0.02,0.03,1.03,0
7316,0,-0.01,0.03,1.01,0
7345,0,-0.01,0.03,1.01,0
7391,0,-0.02,0.03,1.02,0
7420,0,-0.02,0.03,1.02,0
7466,0,0,0.04,1.02,0
7495,0,0,0.04,1.02,0
7541,0,-0.02,0.04,1.03,0
7570,0,-0.02,0.04,1.03,0
7615,0,-0.01,0.03,1.03,0
7644,0,-0.01,0.03,1.03,0
7690,0,-0.02,0.04,1.03,0
7719,0,-0.02,0.04,1.03,0
7764,0,-0.02,0.03,1.03,0
7793,0,-0.02,0.03,1.03,0
7839,0,-0.01,0.04,1.01,0
7868,0,-0.01,0.04,1.01,0
7914,0,-0.03,0.03,1.03,0
7950,0,-0.03,0.03,1.03,0
7999,0,0.01,0.03,1.02,0
8025,0,0.01,0.03,1.02,0
8073,0,-0.02,0.03,1.02,0
8099,0,-0.02,0.03,1.02,0
8148,0,-0.01,0.04,1.02,0
8174,0,-0.01,0.04,1.02,0
8223,0,-0.02,0.04,1.02,0
8249,0,-0.02,0.04,1.02,0
8297,0,-0.01,0.04,1.03,0
8323,0,-0.01,0.04,1.03,0
8372,0,-0.02,0.03,1.03,0
8398,0,-0.02,0.03,1.03,0
8447,0,-0.02,0.03,1.02,0
8473,0,-0.02,0.03,1.02,0
8521,0,0,0.04,1.02,0
8548,0,0,0.04,1.02,0
8596,0,-0.03,0.04,1.02,0
8622,0,-0.03,0.04,1.02,0
8671,0,-0.01,0.03,1.03,0
8697,0,-0.01,0.03,1.03,0
8746,0,-0.01,0.04,1.04,0
8772,0,-0.01,0.04,1.04,0
8820,0,-0.01,0.04,1.02,0
8846,0,-0.01,0.04,1.02,0
8901,0,-0.01,0.04,1.01,0
8927,0,-0.01,0.04,1.01,0
8975,0,-0.02,0.04,1.02,0
9001,0,-0.02,0.04,1.02,0
9050,0,-0.01,0.03,1.03,0
9079,0,-0.01,0.03,1.03,0
9124,0,-0.02,0.03,1.01,0
9153,0,-0.02,0.03,1.01,0
9199,0,-0.03,0.04,1.02,0
9227,0,-0.03,0.04,1.02,0
9273,0,-0.01,0.03,1.01,0
9302,0,-0.01,0.03,1.01,0
9328,0,-0.01,0.03,1.01,0
10192,0,-0.02,0.04,1.03,0
10218,0,-0.02,0.04,1.03,0
10266,0,-0.02,0.04,1.02,0
10292,0,-0.02,0.04,1.02,0
10340,0,-0.02,0.03,1.03,0
10366,0,-0.02,0.03,1.03,0
10415,0,-0.02,0.03,1.03,0
10441,0,-0.02,0.03,1.03,0
10489,0,-0.02,0.04,1.03,0
10515,0,-0.02,0.04,1.03,0
10564,0,-0.01,0.03,1.03,0
10596,0,-0.01,0.03,1.03,0
10645,0,-0.01,0.04,1.02,0
10671,0,-0.01,0.04,1.02,0
10719,0,-0.02,0.03,1.04,0
10745,0,-0.02,0.03,1.04,0
10793,0,-0.02,0.03,1.02,0
10819,0,-0.02,0.03,1.02,0
10868,0,-0.01,0.04,1.02,0
10897,0,-0.01,0.04,1.02,0
10942,0,-0.02,0.04,1.02,0
10971,0,-0.02,0.04,1.02,0
11017,0,-0.01,0.04,1.01,0
11046,0,-0.01,0.04,1.01,0
11091,0,-0.01,0.04,1.03,0
11120,0,-0.01,0.04,1.03,0
11166,0,-0.01,0.03,1.02,0
11194,0,-0.01,0.03,1.02,0
11240,0,-0.04,0.03,1.09,0
11269,0,-0.04,0.03,1.09,0
11314,0,0.01,0.04,1.01,0
11343,0,0.01,0.04,1.01,0
11388,0,-0.03,0.05,1.04,0
11417,0,-0.03,0.05,1.04,0
11463,0,-0.01,0.04,1.04,0
11492,0,-0.01,0.04,1.04,0
11541,0,-0.01,0.04,1.01,0
11573,0,-0.01,0.04,1.01,0
11619,0,-0.02,0.03,1.03,0
11647,0,-0.02,0.03,1.03,0
11693,0,-0.01,0.02,1.03,0
11722,0,-0.01,0.02,1.03,0
11768,0,-0.02,0.04,1.01,0
11797,0,-0.02,0.04,1.01,0
11845,0,-0.01,0.03,1.03,0
11871,0,-0.01,0.03,1.03,0
11919,0,-0.01,0.03,1,0
11945,0,-0.01,0.03,1,0
11993,0,-0.02,0.03,1.03,0
12019,0,-0.02,0.03,1.03,0
12068,0,0,0.04,1.01,0
12094,0,0,0.04,1.01,0
12142,0,-0.02,0.06,1.01,0
12168,0,-0.02,0.06,1.01,0
12217,0,-0.03,0.05,1.04,0
12243,0,-0.03,0.05,1.04,0
12291,0,-0.01,0.05,1.02,0
12317,0,-0.01,0.05,1.02,0
12366,0,-0.01,0.03,1.02,0
12392,0,-0.01,0.03,1.02,0
12440,0,0,0.03,1.02,0
12470,0,0,0.03,1.02,0
12521,0,-0.03,0.03,1.02,0
12547,0,-0.03,0.03,1.02,0
12595,0,-0.01,0.04,1.02,0
12621,0,-0.01,0.04,1.02,0
12669,0,-0.04,0.04,1.05,0
12695,0,-0.04,0.04,1.05,0
12724,0,-0.04,0.04,1.05,0
13581,0,0.01,0.07,0.96,0
13606,0,0.01,0.07,0.96,0
13655,0,-0.01,0.05,1.05,0
13681,0,-0.01,0.05,1.05,0
13729,0,0,0.03,1.04,0
13755,0,0,0.03,1.04,0
13804,0,-0.02,0.06,1.02,0
13830,0,-0.02,0.06,1.02,0
13878,0,-0.01,0.04,1.02,0
13904,0,-0.01,0.04,1.02,0
13952,0,-0.02,0.04,1.03,0
13978,0,-0.02,0.04,1.03,0
14027,0,-0.01,0.04,1.02,0
14053,0,-0.01,0.04,1.02,0
14101,0,-0.02,0.06,1.02,0
14127,0,-0.02,0.06,1.02,0
14176,0,-0.01,0.03,1.02,0
14202,0,-0.01,0.03,1.02,0
14256,0,-0.03,0.04,1.03,0
14282,0,-0.03,0.04,1.03,0
14330,0,-0.01,0.03,1.01,0
14356,0,-0.01,0.03,1.01,0
14404,0,-0.02,0.04,1.03,0
14430,0,-0.02,0.04,1.03,0
14478,0,0,0.03,1.03,0
14504,0,0,0.03,1.03,0
14547,0,-0.01,0.04,1.02,0
14576,0,-0.01,0.04,1.02,0
14622,0,-0.01,0.02,1.02,0
14650,0,-0.01,0.02,1.02,0
14696,0,-0.02,0.03,1.02,0
14725,0,-0.02,0.03,1.02,0
14770,0,-0.01,0.03,1.03,0
14799,0,-0.01,0.03,1.03,0
14844,0,-0.01,0.04,1.03,0
14873,0,-0.01,0.04,1.03,0
14918,0,-0.02,0.03,1.03,0
14947,0,-0.02,0.03,1.03,0
14992,0,-0.01,0.04,1.02,0
15021,0,-0.01,0.04,1.02,0
15066,0,-0.01,0.03,1.03,0
15095,0,-0.01,0.03,1.03,0
15140,0,-0.02,0.04,1.01,0
15173,0,-0.02,0.04,1.01,0
15221,0,-0.02,0.03,1.02,0
15249,0,-0.02,0.03,1.02,0
15295,0,-0.02,0.03,1.03,0
15324,0,-0.02,0.03,1.03,0
15369,0,-0.02,0.03,1.02,0
15398,0,-0.02,0.03,1.02,0
15443,0,0,0.03,1.02,0
15472,0,0,0.03,1.02,0
15520,0,-0.01,0.04,1.02,0
15546,0,-0.01,0.04,1.02,0
15602,0,-0.01,0.03,1.03,0
15628,0,-0.01,0.03,1.03,0
15676,0,-0.01,0.03,1.02,0
15702,0,-0.01,0.03,1.02,0
15751,0,-0.03,0.02,1.03,0
15776,0,-0.03,0.02,1.03,0
15825,0,-0.02,0.02,1.02,0
15851,0,-0.02,0.02,1.02,0
15899,0,-0.02,0.03,1.03,0
15925,0,-0.02,0.03,1.03,0
15973,0,-0.01,0.02,1.01,0
15999,0,-0.01,0.02,1.01,0
16047,0,-0.02,0.03,1.02,0
16077,0,-0.02,0.03,1.02,0
16108,0,-0.02,0.03,1.02,0
16961,0,0,0.04,1.03,0
16990,0,0,0.04,1.03,0
17035,0,-0.03,0.03,1.03,0
17064,0,-0.03,0.03,1.03,0
17110,0,0,0.04,1,0
17139,0,0,0.04,1,0
17184,0,-0.03,0.03,1.01,0
17213,0,-0.03,0.03,1.01,0
17261,0,-0.01,0.04,1.01,0
17287,0,-0.01,0.04,1.01,0
17336,0,-0.03,0.04,1.03,0
17362,0,-0.03,0.04,1.03,0
17410,0,-0.01,0.03,1.02,0
17436,0,-0.01,0.03,1.02,0
17484,0,-0.01,0.05,1.01,0
17510,0,-0.01,0.05,1.01,0
17559,0,-0.02,0.05,1.02,0
17584,0,-0.02,0.05,1.02,0
17633,0,-0.02,0.03,1.03,0
17659,0,-0.02,0.03,1.03,0
17707,0,-0.01,0.04,1.01,0
17733,0,-0.01,0.04,1.01,0
17781,0,-0.01,0.04,1.02,0
17807,0,-0.01,0.04,1.02,0
17862,0,-0.01,0.04,1.02,0
17888,0,-0.01,0.04,1.02,0
17936,0,-0.02,0.04,1.04,0
17962,0,-0.02,0.04,1.04,0
18011,0,-0.01,0.04,1.02,0
18037,0,-0.01,0.04,1.02,0
18085,0,-0.01,0.03,1.04,0
18111,0,-0.01,0.03,1.04,0
18159,0,-0.01,0.03,1.01,0
18188,0,-0.01,0.03,1.01,0
18233,0,0,0.03,1.03,0
18262,0,0,0.03,1.03,0
18308,0,-0.02,0.02,1.02,0
18336,0,-0.02,0.02,1.02,0
18382,0,-0.02,0.03,1.02,0
18411,0,-0.02,0.03,1.02,0
18457,0,-0.01,0.02,1.02,0
18485,0,-0.01,0.02,1.02,0
18531,0,-0.01,0.03,1.03,0
18560,0,-0.01,0.03,1.03,0
18605,0,-0.02,0.04,1.02,0
18634,0,-0.02,0.04,1.02,0
18680,0,-0.02,0.04,1.03,0
18708,0,-0.02,0.04,1.03,0
